T,x0mm,x28mm,x44mm,x75mm
333.894,,,,-0.295299
334.701,,,,-0.288811
338.13,,,-0.297242,
338.736,,,,-0.272458
339.946,,,-0.288417,
341.964,,,,-0.257663
344.586,,,-0.27907,
345.797,,-0.297495,,
348.621,,,-0.270114,
349.227,,,,-0.235079
349.832,-0.298919,,,
350.235,,-0.28763,,
351.244,-0.293857,,,
352.253,,,-0.256356,
354.876,-0.286977,,,
356.893,,,,-0.215349
357.498,,-0.276464,,
359.919,,,-0.243244,
361.13,-0.274255,,,
363.349,,-0.264781,,
366.174,,,,-0.200548
367.182,,,-0.232598,
370.208,-0.257768,,,
372.226,,-0.252965,,
375.252,,,-0.221691,
378.682,-0.247121,,,
379.489,,,,-0.180554
383.12,,,-0.212731,
383.726,,-0.238293,,
390.182,-0.234394,,,
393.006,,,-0.20312,
396.032,,,,-0.162893
399.26,,-0.222838,,
399.462,-0.226082,,,
405.514,,,-0.192599,
405.918,-0.220237,,,
407.734,,,,-0.150426
414.19,,,-0.186104,
416.611,,-0.209458,,
423.067,,,,-0.138734
424.075,-0.206856,,,
427.909,,,-0.17649,
431.137,,-0.198935,,
440.013,,,,-0.127301
442.434,,,-0.168302,
444.654,-0.196328,,,
446.469,,-0.189709,,
453.329,,,-0.162065,
459.381,,,,-0.115087
463.82,,,-0.156606,
464.022,-0.187358,,,
468.863,,-0.179179,,
478.346,,,-0.150235,
479.153,,,,-0.105208
479.354,-0.180857,,,
489.442,,-0.169819,,
495.091,,,-0.142954,
496.503,,,,-0.097408
499.731,-0.172924,,,
509.213,,,-0.137362,
511.231,,-0.161755,,
514.66,,,,-0.092461
519.704,-0.16603,,,
522.125,,,-0.133458,
532.818,,,-0.129556,
534.432,,,,-0.087513
536.449,,-0.153429,,
539.677,-0.159654,,,
546.94,,,-0.125262,
555.817,,,,-0.083602
557.229,-0.154059,,,
560.054,,-0.146012,,
563.282,,,-0.120317,
576.799,,,-0.116543,
579.623,,,,-0.080208
582.044,-0.14742,,,
588.5,,-0.138721,,
590.518,,,-0.112508,
602.421,-0.142861,,,
604.64,,,,-0.076553
607.263,,,-0.108601,
610.289,,-0.133512,,
622.999,,,-0.105473,
626.429,-0.136872,,,
627.64,,,,-0.074976
633.894,,-0.12869,,
637.727,,,-0.102216,
648.218,,,,-0.072882
650.841,-0.13166,,,
653.06,,,-0.09883,
657.498,,-0.123609,,
668.796,,,-0.095312,
669.603,-0.127751,,,
672.428,,-0.120353,,
679.489,,,-0.093616,
679.691,,,,-0.069481
679.892,,-0.119178,,
691.594,,,-0.090751,
695.831,-0.124355,,,
699.26,,-0.115658,,
703.9,,,,-0.068422
706.725,,,-0.088402,
718.83,,-0.112397,,
720.646,,,-0.086574,
722.058,-0.119791,,,
725.689,,,,-0.068403
732.751,,,-0.084617,
736.987,,-0.109657,,
741.829,-0.11653,,,
747.276,,,-0.08188,
751.11,,,,-0.066824
759.583,-0.114049,,,
762.609,,-0.105352,,
764.627,,,-0.079659,
772.091,,,,-0.06499
779.153,,,-0.07757,
780.161,-0.110917,,,
785.205,,-0.101959,,
791.863,,,,-0.063934
797.31,,,-0.07457,
799.933,,-0.099741,,
805.985,-0.10778,,,
809.213,,,,-0.0634
814.459,,,-0.072868,
821.116,,-0.097257,,
829.792,-0.105165,,,
832.616,,,-0.069998,
834.633,,,,-0.061043
843.107,,-0.093605,,
848.554,,,-0.068297,
848.756,-0.103332,,,
851.984,,,,-0.060768
864.492,-0.101242,,,
867.922,,,-0.065426,
869.738,,-0.090857,,
880.632,,,-0.063209,
881.036,,,,-0.058407
882.65,-0.099669,,,
890.316,,-0.086557,,
897.983,,,-0.061118,
901.21,-0.097577,,,
906.052,,,,-0.055531
909.079,,-0.083426,,
914.929,,,-0.057729,
916.543,-0.094968,,,
920.578,,-0.079653,,
921.385,,,-0.05422,
922.596,,,,-0.052143
922.798,,-0.072904,,
922.999,,,-0.048899,
924.008,,-0.063301,,
924.613,-0.09055,,,
925.219,,,-0.040592,
925.42,-0.083802,,,
926.227,,,,-0.040981
926.631,-0.077053,,,
926.833,,-0.056162,,
927.034,-0.068748,,,
928.245,-0.057848,,,
928.85,,-0.046169,-0.034361,
930.666,-0.046427,-0.036695,,
932.683,,,,-0.029297
933.49,,,-0.025663,
934.297,,-0.026571,,
935.104,-0.037599,,,
935.911,-0.030073,,,
936.113,,,-0.007624,
936.315,,,-0.001136,
936.516,,,-0.016837,
937.122,,,,-0.016317
937.525,-0.023843,,,
937.929,,-0.010607,,
938.13,,-0.018263,,
938.332,,-0.001524,,-0.001783
939.543,-0.015277,,,
939.946,-0.008529,,,
