T,x0mm,x325mm_1,x325mm_2,x62mm_1,x62mm_2
200.722,,,,,-0.112713
202.886,,,,,-0.111528
205.675,,,,,-0.11068
207.75,,,,,-0.109411
210.454,,,,,-0.108057
213.418,,,,,-0.107714
215.761,,,,,-0.10653
217.831,,,,,-0.105851
221.163,,,,,-0.104496
223.954,,,,,-0.103395
227.017,,,,,-0.10204
230.434,,,,,-0.101275
233.047,,,,,-0.100005
235.924,,,,,-0.099325
239.431,,,,,-0.09856
242.849,,,,,-0.097542
243.436,,,,-0.112889,
246.003,,,,,-0.096018
246.497,,,,-0.111788,
249.691,,,,,-0.095
250.365,,,,-0.110684,
252.527,,,,-0.109669,
253.289,,,,,-0.094066
256.664,,,,-0.108649,
256.977,,,,,-0.092963
259.813,,,,-0.107632,
260.667,,,,,-0.091691
262.691,,,,-0.106868,
264.799,,,,,-0.091262
266.476,,,,-0.105005,
268.849,,,,,-0.089906
269.891,,,,-0.104493,
273.439,,,,,-0.088295
273.488,,,,-0.103644,
277.177,,,,-0.102456,
277.572,,,,,-0.087698
280.688,,,,-0.101185,
281.977,,,,,-0.086846
285.186,,,,-0.099828,
287.192,,,,,-0.085656
289.051,,,,-0.099062,
291.509,,,,,-0.084468
292.74,,,,-0.097959,
297.08,,,,,-0.083615
297.233,,,,-0.097192,
301.192,,,,-0.096004,
302.118,,,,,-0.082172
305.422,,,,-0.094563,
307.867,,,,,-0.081487
309.557,,,,-0.093712,
313.802,,,,,-0.080043
314.141,,,,-0.092945,
318.73,,,,-0.091419,
319.373,,,,,-0.07919
323.494,,,,-0.090567,
326.115,,,,,-0.077828
328.169,,,,-0.089547,
331.888,,,,,-0.077431
332.755,,,,-0.088442,
337.701,,,,-0.087253,
337.751,,,-0.11289,,
340.021,,,,,-0.075877
343.004,,,,-0.086232,
343.149,,,-0.111194,,
347.295,,,,,-0.074793
348.001,,,-0.11051,,
348.487,,,,-0.08521,
353.038,,,-0.109152,,
353.881,,,,-0.084019,
355.281,,,,,-0.073775
357.353,,,-0.108301,,
359.181,,,,-0.08342,
362.697,,,,,-0.072757
362.744,,,-0.107448,,
365.294,,,,-0.082059,
367.424,,,-0.105922,,
